date	open	high	low	close	volume
2007-03-28	21.216	21.643	20.488	21.292	199601.466
2007-03-29	21.342	21.417	20.882	20.982	152690.738
2007-03-30	21.007	21.082	20.237	20.396	140625.993
2007-04-02	20.413	20.798	20.304	20.706	111107.772
2007-04-03	20.756	21.593	20.321	21.283	228542.73
2007-04-04	21.342	22.664	21.158	22.321	324871.51
2007-04-05	22.388	24.556	22.196	23.936	349725.643
2007-04-06	23.434	24.104	23.267	23.426	162625.609
2007-04-09	23.342	24.522	23.191	23.426	150398.248
2007-04-10	23.434	23.535	22.472	22.865	138153.562
2007-04-11	22.957	23.476	22.597	23.074	140291.144
2007-04-12	23.016	24.037	22.756	23.752	181477.32
2007-04-13	23.685	25.861	23.409	25.1	326367.221
2007-04-16	25.108	27.133	24.941	26.681	197447.204
2007-04-17	26.589	26.782	25.342	26.372	164454.672
2007-04-18	26.112	26.112	25.016	25.451	153983.426
2007-04-19	25.15	25.192	23.518	24.204	178431.872
2007-04-20	24.187	25.443	24.187	25.1	174048.182
2007-04-23	25.51	26.69	24.857	26.372	156753.748
2007-04-24	26.489	26.949	25.861	25.937	133589.897
2007-04-25	25.736	26.363	25.108	25.895	74075.932
2007-04-26	26.28	26.79	25.535	26.681	118876.772
2007-04-27	26.656	29.125	26.531	28.673	203906.694
2007-04-30	28.682	29.845	28.121	29.251	144866.233
2007-05-08	29.795	29.795	28.339	29.008	114397.018
2007-05-09	28.908	28.908	26.681	27.703	122623.32
2007-05-10	27.711	28.623	27.2	27.744	103127.78
2007-05-11	27.744	27.744	26.196	26.958	139352.396
2007-05-14	26.179	27.443	25.108	26.866	111935.5
2007-05-15	26.698	26.782	25.677	25.861	130750.252
2007-05-16	25.778	27.108	25.418	26.757	113387.457
2007-05-17	26.857	27.87	26.774	27.0	84857.505
2007-05-18	26.907	26.907	26.246	26.573	90389.562
2007-05-21	25.778	28.883	25.568	26.983	121475.422
2007-05-22	26.991	28.38	26.799	28.029	154402.84
2007-05-23	27.954	27.97	27.376	27.761	96337.693
2007-05-24	28.037	28.665	27.2	27.552	128620.746
2007-05-25	27.619	28.037	27.309	27.61	131667.399
2007-05-28	27.661	29.083	27.661	28.548	205882.095
2007-05-29	28.874	30.213	28.707	30.138	201459.805
2007-05-30	28.456	29.711	27.225	28.355	209368.733
2007-05-31	28.372	31.193	28.372	31.193	283593.405
2007-06-01	31.804	33.477	30.13	31.26	244407.796
2007-06-04	31.427	32.624	29.209	30.113	147954.247
2007-06-05	29.167	31.193	27.217	30.397	129188.464
2007-06-06	30.556	33.394	29.711	33.318	165112.42
2007-06-07	33.419	36.239	32.306	35.67	178995.925
2007-06-08	35.151	36.064	34.733	35.168	117548.363
2007-06-11	35.151	35.838	33.988	34.917	114895.489
2007-06-12	35.57	35.57	33.436	33.954	200576.019
2007-06-13	34.147	36.231	33.477	35.545	239929.809
2007-06-14	35.561	35.603	34.247	34.482	115066.558
2007-06-15	33.854	34.44	33.394	34.03	97754.498
2007-06-18	34.172	35.235	34.105	34.314	85202.582
2007-06-19	34.381	35.068	33.444	33.829	131873.444
2007-06-20	33.879	33.971	32.657	32.724	129339.456
2007-06-21	32.322	33.394	32.322	33.235	112995.403
2007-06-22	33.402	34.733	31.812	33.302	158741.971
2007-06-25	33.41	33.879	31.05	31.151	126573.344
2007-06-26	30.799	31.695	30.565	31.226	91452.712
2007-06-27	31.452	33.553	31.452	33.226	151498.893
2007-06-29	31.385	32.716	30.967	31.812	141802.984
2007-07-02	31.804	32.163	30.615	31.594	68931.744
2007-07-03	31.804	33.051	31.804	32.657	76392.133
2007-07-04	32.666	32.975	31.536	31.686	42792.497
2007-07-05	31.092	31.092	29.711	29.728	97845.297
2007-07-06	29.385	30.967	29.335	30.908	81144.602
2007-07-09	31.26	31.804	30.473	31.477	67581.81
2007-07-10	31.385	31.435	30.297	30.565	57057.846
2007-07-11	30.464	30.883	30.046	30.28	42526.829
2007-07-12	30.548	30.908	30.046	30.448	47932.441
2007-07-13	30.556	31.929	30.18	31.628	63887.328
2007-07-16	31.636	31.762	30.69	31.008	41849.204
2007-07-17	30.958	31.594	30.548	31.251	32714.083
2007-07-18	31.251	31.385	29.293	30.933	69452.234
2007-07-19	31.042	31.251	30.632	30.808	34715.011
2007-07-20	30.967	32.038	30.858	31.72	87861.491
2007-07-23	31.72	33.318	31.636	32.984	106344.699
2007-07-24	33.143	33.369	32.54	32.557	93714.956
2007-07-25	32.507	32.858	31.954	32.841	81016.283
2007-07-26	33.067	33.854	32.54	32.95	86814.083
2007-07-27	32.64	33.051	32.222	32.582	61203.871
2007-07-30	32.557	33.98	32.239	33.394	160539.992
2007-07-31	33.477	34.724	33.151	34.398	105500.106
2007-08-01	34.398	34.816	32.64	32.674	116208.037
2007-08-02	32.733	33.728	32.565	32.992	72415.737
2007-08-03	33.302	33.938	32.942	33.603	116248.335
2007-08-06	34.072	34.867	33.569	34.666	148888.417
2007-08-07	34.733	34.733	33.352	33.745	141380.582
2007-08-08	33.477	33.477	32.222	32.624	142059.144
2007-08-09	32.599	33.494	32.54	32.674	93395.749
2007-08-10	32.975	33.519	32.557	33.067	85042.694
2007-08-13	33.042	34.473	32.515	33.787	162537.338
2007-08-14	33.854	34.348	33.143	33.896	123171.747
2007-08-15	34.105	34.356	33.059	33.628	92968.761
2007-08-16	33.193	33.477	32.23	32.607	115384.585
2007-08-17	32.515	32.624	31.385	31.46	159705.083
2007-08-20	32.306	33.134	32.306	32.925	125121.337
2007-08-21	32.933	34.013	32.933	33.444	102055.934
2007-08-22	33.133	34.444	33.015	33.864	93468.418
2007-08-23	33.889	35.687	33.872	35.065	134016.896
2007-08-24	35.368	36.594	35.301	35.712	137335.766
2007-08-27	35.729	36.712	34.368	34.914	131742.02
2007-08-28	34.452	34.528	33.436	33.671	141182.901
2007-08-29	33.604	34.175	33.31	33.73	95156.467
2007-08-30	33.797	34.402	33.52	33.755	91568.365
2007-08-31	33.881	35.46	33.52	35.225	151474.977
2007-09-03	35.443	35.897	34.444	34.855	127201.089
2007-09-04	34.964	35.704	33.755	34.192	84517.073
2007-09-05	34.36	35.519	34.024	35.46	113933.748
2007-09-06	35.46	36.124	35.057	35.359	109776.141
2007-09-07	35.376	36.174	34.612	35.116	130169.257
2007-09-10	35.032	35.452	33.94	35.25	72606.802
2007-09-11	35.41	35.41	32.595	33.352	72851.117
2007-09-12	33.36	34.679	33.36	34.276	84332.371
2007-09-13	34.108	34.578	33.352	33.738	87046.672
2007-09-14	33.864	33.864	32.612	33.183	117940.483
2007-09-17	33.183	34.948	32.721	34.351	137909.177
2007-09-18	34.444	34.444	33.099	33.511	74520.708
2007-09-19	33.52	33.604	32.898	33.343	50499.662
2007-09-20	33.268	33.839	32.94	33.301	93338.246
2007-09-21	33.301	33.898	33.057	33.746	96357.76
2007-09-24	33.847	34.108	32.604	32.805	75499.244
2007-09-25	32.847	33.578	32.763	32.948	57192.026
2007-09-26	33.015	33.251	32.007	32.108	61124.413
2007-09-27	32.117	32.469	31.587	32.251	51440.948
2007-09-28	32.343	33.318	32.343	33.099	103429.911
2007-10-08	33.755	33.755	32.915	33.183	104156.058
2007-10-09	33.183	33.209	31.923	32.259	127119.181
2007-10-10	32.654	32.654	31.907	32.259	179631.796
2007-10-11	32.343	32.587	31.487	31.579	138839.138
2007-10-12	31.613	32.427	29.748	30.873	164299.046
2007-10-15	31.083	31.251	30.159	30.394	140650.243
2007-10-16	30.512	31.923	30.159	31.907	207673.607
2007-10-17	31.839	32.763	31.092	32.31	232443.819
2007-10-18	32.301	32.301	30.663	30.781	68823.749
2007-10-19	30.831	31.411	30.252	30.588	65171.388
2007-10-22	30.075	30.663	29.386	30.571	68757.231
2007-10-23	30.663	30.747	29.529	30.235	40001.866
2007-10-24	30.537	30.764	29.823	29.974	49911.625
2007-10-25	29.865	29.865	28.261	28.571	86944.391
2007-10-26	28.588	29.319	28.403	28.546	61037.649
2007-10-29	28.966	29.529	28.563	28.865	36246.258
2007-10-30	29.294	29.319	28.437	29.269	49026.794
2007-10-31	29.714	30.512	29.134	30.075	82551.283
2007-11-01	30.243	30.352	28.563	28.781	79365.717
2007-11-02	28.286	28.311	27.454	27.547	89456.054
2007-11-05	27.387	27.967	26.715	27.832	44162.278
2007-11-06	27.849	28.109	27.706	27.849	33259.34
2007-11-07	27.807	28.546	27.807	28.546	57008.005
2007-11-08	28.345	28.361	27.219	27.328	45993.192
2007-11-09	26.9	27.353	26.9	27.093	47347.843
2007-11-12	26.454	27.177	25.522	26.547	74770.626
2007-11-13	26.799	27.563	26.79	26.916	45612.086
2007-11-14	27.252	28.16	27.051	27.773	42955.163
2007-11-15	27.723	28.63	27.387	27.832	63042.831
2007-11-16	27.639	27.975	27.093	27.294	38771.111
2007-11-19	27.353	28.067	26.883	27.387	24880.02
2007-11-20	27.471	28.975	27.303	28.79	67748.78
2007-11-21	28.983	29.067	28.319	28.706	29507.883
2007-11-22	28.286	28.647	26.883	27.051	44347.938
2007-11-23	27.051	27.891	26.799	27.673	51697.007
2007-11-26	28.101	28.294	26.883	26.925	50013.327
2007-11-27	26.925	27.673	26.925	27.303	35690.338
2007-11-28	27.32	27.639	26.631	26.858	22146.842
2007-11-29	27.059	27.555	26.715	27.378	66727.232
2007-11-30	27.378	27.538	26.95	27.328	28436.409
2007-12-03	27.303	27.891	27.009	27.631	38144.018
2007-12-04	27.723	28.63	27.723	28.059	42034.367
2007-12-05	27.807	28.538	27.807	28.261	27111.9
2007-12-06	28.286	28.958	28.286	28.941	39461.983
2007-12-07	28.983	29.63	28.983	29.143	44167.201
2007-12-10	28.563	29.865	28.479	29.588	48385.235
2007-12-11	29.554	29.823	29.067	29.521	38505.466
2007-12-12	29.521	30.193	29.327	30.117	52355.031
2007-12-13	30.042	30.226	29.067	29.143	37780.722
2007-12-14	28.823	29.983	28.647	29.899	43894.088
2007-12-17	29.916	31.327	29.403	30.067	69134.808
2007-12-18	30.067	31.218	29.907	30.756	40608.678
2007-12-19	30.814	31.134	30.495	30.84	33450.074
2007-12-20	30.873	31.041	30.495	30.806	24041.838
2007-12-21	30.756	31.31	30.646	31.276	30690.417
2007-12-24	31.344	32.226	31.285	31.797	45854.687
2007-12-25	31.848	32.243	31.428	31.923	35693.085
2007-12-26	31.923	32.427	31.671	32.15	40722.771
2007-12-27	32.133	32.335	31.722	32.217	31676.076
2007-12-28	32.226	32.377	31.419	31.52	76055.164
2008-01-02	31.52	32.091	31.108	31.713	44308.966
2008-01-03	31.755	31.755	30.915	31.108	60244.966
2008-01-04	31.142	31.487	30.764	31.31	96276.708
2008-01-07	31.335	32.343	30.915	32.175	84416.187
2008-01-08	32.167	32.369	31.713	31.823	57215.918
2008-01-09	31.713	31.881	31.083	31.831	67256.429
2008-01-10	31.755	32.427	31.428	32.192	78867.52
2008-01-11	32.209	32.931	32.175	32.713	76440.344
2008-01-14	32.688	33.436	32.343	32.385	67297.451
2008-01-15	32.385	33.41	32.175	33.293	89935.308
2008-01-16	32.763	33.183	32.427	32.461	79867.838
2008-01-17	32.343	33.259	31.503	32.646	112478.311
2008-01-18	32.469	32.755	31.655	32.091	53108.717
2008-01-21	31.932	32.587	31.419	31.781	67228.026
2008-01-22	31.302	31.302	28.605	29.479	92229.766
2008-01-23	30.361	30.655	29.647	30.411	69661.93
2008-01-24	31.075	31.251	30.075	30.579	47657.987
2008-01-25	30.747	31.251	29.907	31.176	46226.594
2008-01-28	30.831	30.982	28.798	28.865	35111.735
2008-01-29	28.689	29.47	27.975	28.403	49337.895
2008-01-30	28.798	28.798	27.555	28.051	35678.316
